"","country","year","id","tot_gas","all_gas","ch4","co2","fgas","n2o","mean_year_tempeC","year_deaths"
"61","Austria",1994,"Austria-1994",61.22,61.22,10.61,44.81,1.19,4.6,7.91666666666667,10949
"62","Austria",1994,"Austria-1994",44.81,61.22,10.61,44.81,1.19,4.6,7.91666666666667,10949
"63","Austria",1994,"Austria-1994",10.61,61.22,10.61,44.81,1.19,4.6,7.91666666666667,10949
"64","Austria",1994,"Austria-1994",4.6,61.22,10.61,44.81,1.19,4.6,7.91666666666667,10949
"65","Austria",1994,"Austria-1994",1.19,61.22,10.61,44.81,1.19,4.6,7.91666666666667,10949
"66","Austria",1995,"Austria-1995",63.69,63.69,10.12,47.71,1.28,4.59,6.65833333333333,10762
"67","Austria",1995,"Austria-1995",47.71,63.69,10.12,47.71,1.28,4.59,6.65833333333333,10762
"68","Austria",1995,"Austria-1995",10.12,63.69,10.12,47.71,1.28,4.59,6.65833333333333,10762
"69","Austria",1995,"Austria-1995",4.59,63.69,10.12,47.71,1.28,4.59,6.65833333333333,10762
"70","Austria",1995,"Austria-1995",1.28,63.69,10.12,47.71,1.28,4.59,6.65833333333333,10762
"71","Austria",1996,"Austria-1996",67.41,67.41,9.89,51.43,1.4,4.69,5.66666666666667,10998
"72","Austria",1996,"Austria-1996",51.43,67.41,9.89,51.43,1.4,4.69,5.66666666666667,10998
"73","Austria",1996,"Austria-1996",9.89,67.41,9.89,51.43,1.4,4.69,5.66666666666667,10998
"74","Austria",1996,"Austria-1996",4.69,67.41,9.89,51.43,1.4,4.69,5.66666666666667,10998
"75","Austria",1996,"Austria-1996",1.4,67.41,9.89,51.43,1.4,4.69,5.66666666666667,10998
"76","Austria",1997,"Austria-1997",66.4,66.4,9.59,50.75,1.43,4.64,6.8,11082
"77","Austria",1997,"Austria-1997",50.75,66.4,9.59,50.75,1.43,4.64,6.8,11082
"78","Austria",1997,"Austria-1997",9.59,66.4,9.59,50.75,1.43,4.64,6.8,11082
"79","Austria",1997,"Austria-1997",4.64,66.4,9.59,50.75,1.43,4.64,6.8,11082
"80","Austria",1997,"Austria-1997",1.43,66.4,9.59,50.75,1.43,4.64,6.8,11082
"81","Austria",1998,"Austria-1998",66.38,66.38,9.31,51.2,1.24,4.63,6.975,11191
"82","Austria",1998,"Austria-1998",51.2,66.38,9.31,51.2,1.24,4.63,6.975,11191
"83","Austria",1998,"Austria-1998",9.31,66.38,9.31,51.2,1.24,4.63,6.975,11191
"84","Austria",1998,"Austria-1998",4.63,66.38,9.31,51.2,1.24,4.63,6.975,11191
"85","Austria",1998,"Austria-1998",1.24,66.38,9.31,51.2,1.24,4.63,6.975,11191
"86","Austria",1999,"Austria-1999",64.56,64.56,9.17,49.58,1.18,4.63,6.98333333333333,12051
"87","Austria",1999,"Austria-1999",49.58,64.56,9.17,49.58,1.18,4.63,6.98333333333333,12051
"88","Austria",1999,"Austria-1999",9.17,64.56,9.17,49.58,1.18,4.63,6.98333333333333,12051
"89","Austria",1999,"Austria-1999",4.63,64.56,9.17,49.58,1.18,4.63,6.98333333333333,12051
"90","Austria",1999,"Austria-1999",1.18,64.56,9.17,49.58,1.18,4.63,6.98333333333333,12051
"91","Austria",2000,"Austria-2000",64.76,64.76,8.94,50.06,1.18,4.59,7.825,12141
"92","Austria",2000,"Austria-2000",50.06,64.76,8.94,50.06,1.18,4.59,7.825,12141
"93","Austria",2000,"Austria-2000",8.94,64.76,8.94,50.06,1.18,4.59,7.825,12141
"94","Austria",2000,"Austria-2000",4.59,64.76,8.94,50.06,1.18,4.59,7.825,12141
"95","Austria",2000,"Austria-2000",1.18,64.76,8.94,50.06,1.18,4.59,7.825,12141
"96","Austria",2001,"Austria-2001",76.39,76.39,8.8,61.75,1.38,4.46,6.85,11689
"97","Austria",2001,"Austria-2001",61.75,76.39,8.8,61.75,1.38,4.46,6.85,11689
"98","Austria",2001,"Austria-2001",8.8,76.39,8.8,61.75,1.38,4.46,6.85,11689
"99","Austria",2001,"Austria-2001",4.46,76.39,8.8,61.75,1.38,4.46,6.85,11689
"100","Austria",2001,"Austria-2001",1.38,76.39,8.8,61.75,1.38,4.46,6.85,11689
"101","Belgium",1990,"Belgium-1990",126.81,126.81,13.23,105.4,0.03,8.16,10.85,26278
"102","Belgium",1990,"Belgium-1990",105.4,126.81,13.23,105.4,0.03,8.16,10.85,26278
"103","Belgium",1990,"Belgium-1990",13.23,126.81,13.23,105.4,0.03,8.16,10.85,26278
"104","Belgium",1990,"Belgium-1990",8.16,126.81,13.23,105.4,0.03,8.16,10.85,26278
"105","Belgium",1990,"Belgium-1990",0.03,126.81,13.23,105.4,0.03,8.16,10.85,26278
"106","Belgium",1991,"Belgium-1991",131.76,131.76,13.32,110.05,0.27,8.12,9.65,25664
"107","Belgium",1991,"Belgium-1991",110.05,131.76,13.32,110.05,0.27,8.12,9.65,25664
"108","Belgium",1991,"Belgium-1991",13.32,131.76,13.32,110.05,0.27,8.12,9.65,25664
"109","Belgium",1991,"Belgium-1991",8.12,131.76,13.32,110.05,0.27,8.12,9.65,25664
"110","Belgium",1991,"Belgium-1991",0.27,131.76,13.32,110.05,0.27,8.12,9.65,25664
"111","Belgium",1992,"Belgium-1992",129.84,129.84,13.14,108.42,0.52,7.77,10.45,26743
"112","Belgium",1992,"Belgium-1992",108.42,129.84,13.14,108.42,0.52,7.77,10.45,26743
"113","Belgium",1992,"Belgium-1992",13.14,129.84,13.14,108.42,0.52,7.77,10.45,26743
"114","Belgium",1992,"Belgium-1992",7.77,129.84,13.14,108.42,0.52,7.77,10.45,26743
"115","Belgium",1992,"Belgium-1992",0.52,129.84,13.14,108.42,0.52,7.77,10.45,26743
"116","Belgium",1993,"Belgium-1993",127.66,127.66,12.95,106.19,0.52,8,9.83333333333333,28989
"117","Belgium",1993,"Belgium-1993",106.19,127.66,12.95,106.19,0.52,8,9.83333333333333,28989
"118","Belgium",1993,"Belgium-1993",12.95,127.66,12.95,106.19,0.52,8,9.83333333333333,28989
"119","Belgium",1993,"Belgium-1993",8,127.66,12.95,106.19,0.52,8,9.83333333333333,28989
"120","Belgium",1993,"Belgium-1993",0.52,127.66,12.95,106.19,0.52,8,9.83333333333333,28989
"121","Belgium",1994,"Belgium-1994",133.02,133.02,12.98,110.99,0.53,8.53,10.9333333333333,27317
"122","Belgium",1994,"Belgium-1994",110.99,133.02,12.98,110.99,0.53,8.53,10.9333333333333,27317
"123","Belgium",1994,"Belgium-1994",12.98,133.02,12.98,110.99,0.53,8.53,10.9333333333333,27317
"124","Belgium",1994,"Belgium-1994",8.53,133.02,12.98,110.99,0.53,8.53,10.9333333333333,27317
"125","Belgium",1994,"Belgium-1994",0.53,133.02,12.98,110.99,0.53,8.53,10.9333333333333,27317
"126","Belgium",1995,"Belgium-1995",133.19,133.19,13.11,110.65,0.53,8.9,10.625,29088
"127","Belgium",1995,"Belgium-1995",110.65,133.19,13.11,110.65,0.53,8.9,10.625,29088
"128","Belgium",1995,"Belgium-1995",13.11,133.19,13.11,110.65,0.53,8.9,10.625,29088
"129","Belgium",1995,"Belgium-1995",8.9,133.19,13.11,110.65,0.53,8.9,10.625,29088
"130","Belgium",1995,"Belgium-1995",0.53,133.19,13.11,110.65,0.53,8.9,10.625,29088
"131","Belgium",1996,"Belgium-1996",138.55,138.55,12.98,115.53,0.63,9.41,8.85,29428
"132","Belgium",1996,"Belgium-1996",115.53,138.55,12.98,115.53,0.63,9.41,8.85,29428
"133","Belgium",1996,"Belgium-1996",12.98,138.55,12.98,115.53,0.63,9.41,8.85,29428
"134","Belgium",1996,"Belgium-1996",9.41,138.55,12.98,115.53,0.63,9.41,8.85,29428
"135","Belgium",1996,"Belgium-1996",0.63,138.55,12.98,115.53,0.63,9.41,8.85,29428
"136","Belgium",1997,"Belgium-1997",135.36,135.36,12.78,112.72,0.75,9.1,10.45,30077
"137","Belgium",1997,"Belgium-1997",112.72,135.36,12.78,112.72,0.75,9.1,10.45,30077
"138","Belgium",1997,"Belgium-1997",12.78,135.36,12.78,112.72,0.75,9.1,10.45,30077
"139","Belgium",1997,"Belgium-1997",9.1,135.36,12.78,112.72,0.75,9.1,10.45,30077
"140","Belgium",1997,"Belgium-1997",0.75,135.36,12.78,112.72,0.75,9.1,10.45,30077
"141","Canada",1990,"Canada-1990",626.36,626.36,87.75,483.99,11.7,42.92,-7.45,48526
"142","Canada",1990,"Canada-1990",483.99,626.36,87.75,483.99,11.7,42.92,-7.45,48526
"143","Canada",1990,"Canada-1990",87.75,626.36,87.75,483.99,11.7,42.92,-7.45,48526
"144","Canada",1990,"Canada-1990",42.92,626.36,87.75,483.99,11.7,42.92,-7.45,48526
"145","Canada",1990,"Canada-1990",11.7,626.36,87.75,483.99,11.7,42.92,-7.45,48526
"146","Canada",1991,"Canada-1991",622.29,622.29,89.14,477.81,12.82,42.53,-6.80833333333333,50075
"147","Canada",1991,"Canada-1991",477.81,622.29,89.14,477.81,12.82,42.53,-6.80833333333333,50075
"148","Canada",1991,"Canada-1991",89.14,622.29,89.14,477.81,12.82,42.53,-6.80833333333333,50075
"149","Canada",1991,"Canada-1991",42.53,622.29,89.14,477.81,12.82,42.53,-6.80833333333333,50075
"150","Canada",1991,"Canada-1991",12.82,622.29,89.14,477.81,12.82,42.53,-6.80833333333333,50075
"151","Canada",1992,"Canada-1992",638.22,638.22,93.17,490.88,11.1,43.07,-7.31666666666667,49816
"152","Canada",1992,"Canada-1992",490.88,638.22,93.17,490.88,11.1,43.07,-7.31666666666667,49816
"153","Canada",1992,"Canada-1992",93.17,638.22,93.17,490.88,11.1,43.07,-7.31666666666667,49816
"154","Canada",1992,"Canada-1992",43.07,638.22,93.17,490.88,11.1,43.07,-7.31666666666667,49816
"155","Canada",1992,"Canada-1992",11.1,638.22,93.17,490.88,11.1,43.07,-7.31666666666667,49816
"156","Canada",1993,"Canada-1993",636.25,636.25,95.79,487.56,10.05,42.84,-6.91666666666667,53340
"157","Canada",1993,"Canada-1993",487.56,636.25,95.79,487.56,10.05,42.84,-6.91666666666667,53340
"158","Canada",1993,"Canada-1993",95.79,636.25,95.79,487.56,10.05,42.84,-6.91666666666667,53340
"159","Canada",1993,"Canada-1993",42.84,636.25,95.79,487.56,10.05,42.84,-6.91666666666667,53340
"160","Canada",1993,"Canada-1993",10.05,636.25,95.79,487.56,10.05,42.84,-6.91666666666667,53340
"161","Canada",1994,"Canada-1994",656.82,656.82,98.36,503.69,9.65,45.11,-6.73333333333333,53984
"162","Canada",1994,"Canada-1994",503.69,656.82,98.36,503.69,9.65,45.11,-6.73333333333333,53984
"163","Canada",1994,"Canada-1994",98.36,656.82,98.36,503.69,9.65,45.11,-6.73333333333333,53984
"164","Canada",1994,"Canada-1994",45.11,656.82,98.36,503.69,9.65,45.11,-6.73333333333333,53984
"165","Canada",1994,"Canada-1994",9.65,656.82,98.36,503.69,9.65,45.11,-6.73333333333333,53984
"166","Canada",1995,"Canada-1995",672.53,672.53,102.21,514.62,9.02,46.68,-6.73333333333333,55030
"167","Canada",1995,"Canada-1995",514.62,672.53,102.21,514.62,9.02,46.68,-6.73333333333333,55030
"168","Canada",1995,"Canada-1995",102.21,672.53,102.21,514.62,9.02,46.68,-6.73333333333333,55030
"169","Canada",1995,"Canada-1995",46.68,672.53,102.21,514.62,9.02,46.68,-6.73333333333333,55030
"170","Canada",1995,"Canada-1995",9.02,672.53,102.21,514.62,9.02,46.68,-6.73333333333333,55030
"171","Canada",1996,"Canada-1996",696.88,696.88,108.74,528.32,9.02,50.81,-7.43333333333333,56025
"172","Canada",1996,"Canada-1996",528.32,696.88,108.74,528.32,9.02,50.81,-7.43333333333333,56025
"173","Canada",1996,"Canada-1996",108.74,696.88,108.74,528.32,9.02,50.81,-7.43333333333333,56025
"174","Canada",1996,"Canada-1996",50.81,696.88,108.74,528.32,9.02,50.81,-7.43333333333333,56025
"175","Canada",1996,"Canada-1996",9.02,696.88,108.74,528.32,9.02,50.81,-7.43333333333333,56025
"176","Canada",1997,"Canada-1997",709.57,709.57,108.86,543.72,9.27,47.73,-6.60833333333333,57509
"177","Canada",1997,"Canada-1997",543.72,709.57,108.86,543.72,9.27,47.73,-6.60833333333333,57509
"178","Canada",1997,"Canada-1997",108.86,709.57,108.86,543.72,9.27,47.73,-6.60833333333333,57509
"179","Canada",1997,"Canada-1997",47.73,709.57,108.86,543.72,9.27,47.73,-6.60833333333333,57509
"180","Canada",1997,"Canada-1997",9.27,709.57,108.86,543.72,9.27,47.73,-6.60833333333333,57509
"181","Canada",1998,"Canada-1998",726.1,726.1,115.71,552.1,10.4,47.89,-5.14166666666667,61894
"182","Canada",1998,"Canada-1998",552.1,726.1,115.71,552.1,10.4,47.89,-5.14166666666667,61894
"183","Canada",1998,"Canada-1998",115.71,726.1,115.71,552.1,10.4,47.89,-5.14166666666667,61894
"184","Canada",1998,"Canada-1998",47.89,726.1,115.71,552.1,10.4,47.89,-5.14166666666667,61894
"185","Canada",1998,"Canada-1998",10.4,726.1,115.71,552.1,10.4,47.89,-5.14166666666667,61894
"186","Canada",1999,"Canada-1999",723.75,723.75,110.64,560.63,9.89,42.58,-5.8,62677
"187","Canada",1999,"Canada-1999",560.63,723.75,110.64,560.63,9.89,42.58,-5.8,62677
"188","Canada",1999,"Canada-1999",110.64,723.75,110.64,560.63,9.89,42.58,-5.8,62677
"189","Canada",1999,"Canada-1999",42.58,723.75,110.64,560.63,9.89,42.58,-5.8,62677
"190","Canada",1999,"Canada-1999",9.89,723.75,110.64,560.63,9.89,42.58,-5.8,62677
"191","Chile",1990,"Chile-1990",30.34,30.34,12.32,13.05,0.12,4.85,8.58333333333333,21706
"192","Chile",1990,"Chile-1990",13.05,30.34,12.32,13.05,0.12,4.85,8.58333333333333,21706
"193","Chile",1990,"Chile-1990",12.32,30.34,12.32,13.05,0.12,4.85,8.58333333333333,21706
"194","Chile",1990,"Chile-1990",4.85,30.34,12.32,13.05,0.12,4.85,8.58333333333333,21706
"195","Chile",1990,"Chile-1990",0.12,30.34,12.32,13.05,0.12,4.85,8.58333333333333,21706
"196","Chile",1991,"Chile-1991",29.62,29.62,12.43,12.19,0.13,4.86,8.39166666666667,18408
"197","Chile",1991,"Chile-1991",12.19,29.62,12.43,12.19,0.13,4.86,8.39166666666667,18408
"198","Chile",1991,"Chile-1991",12.43,29.62,12.43,12.19,0.13,4.86,8.39166666666667,18408
"199","Chile",1991,"Chile-1991",4.86,29.62,12.43,12.19,0.13,4.86,8.39166666666667,18408
"200","Chile",1991,"Chile-1991",0.13,29.62,12.43,12.19,0.13,4.86,8.39166666666667,18408
"201","Chile",1992,"Chile-1992",31.95,31.95,12.63,14.12,0.14,5.06,8.33333333333333,18275
"202","Chile",1992,"Chile-1992",14.12,31.95,12.63,14.12,0.14,5.06,8.33333333333333,18275
"203","Chile",1992,"Chile-1992",12.63,31.95,12.63,14.12,0.14,5.06,8.33333333333333,18275
"204","Chile",1992,"Chile-1992",5.06,31.95,12.63,14.12,0.14,5.06,8.33333333333333,18275
