,country,year,respiratory_infections_and_tuberculosis_number,respiratory_infections_and_tuberculosis_percent,respiratory_infections_and_tuberculosis_rate,chronic_respiratory_diseases_number,chronic_respiratory_diseases_percent,chronic_respiratory_diseases_rate,all_greenhouse_gas,CO2,CH4,N2O,Fgas,mean_annual_temp,total_respiratory_diseases,total_diseases_percent
180,Belgium,1995,4159,0.04013,41.1664,7173,0.06921000000000001,70.99296,133.19,110.65,13.11,8.9,0.53,10.625,11332,0.10934
181,Portugal,1995,4580,0.04521,44.64952,4873,0.0481,47.499759999999995,68.18,52.16,11.94,3.95,0.14,16.025,9453,0.09331
182,Switzerland,1995,2380,0.03741,33.55072,2678,0.0421,37.75134,50.9,41.98,6.0,2.6,0.32,5.558333,5058,0.07951
183,Canada,1995,7875,0.03797,27.12367,11225,0.05412,38.65953,672.53,514.62,102.21,46.68,9.02,-6.733333,19100,0.09209
184,Iceland,1994,108,0.06064,41.145340000000004,76,0.04261,28.91048,3.1,2.11,0.54,0.39,0.06,1.458333,184,0.10325000000000001
185,Finland,1995,2979,0.06093,58.166230000000006,1314,0.02688,25.658520000000003,38.94,24.98,7.82,5.96,0.17,2.2166669999999997,4293,0.08781
186,Austria,1996,1240,0.015609999999999999,15.66135,2436,0.03065,30.76255,67.41,51.43,9.89,4.69,1.4,5.6666669999999995,3676,0.046259999999999996
187,Denmark,1996,2093,0.03476,39.87648,3954,0.06568,75.33766,89.58,73.65,9.07,6.48,0.39,6.8,6047,0.10044
188,Portugal,1996,4907,0.0475,47.60264,5087,0.04925,49.35131,66.63,50.2,12.14,4.12,0.16,15.166667000000002,9994,0.09675
189,Germany,1996,18965,0.02196,23.14648,37047,0.04289,45.21546,1032.92,851.78,108.86,64.01,8.26,7.608333,56012,0.06484999999999999
190,Switzerland,1996,2290,0.03628,32.099940000000004,2658,0.04212,37.266690000000004,51.49,42.54,5.96,2.59,0.4,4.775,4948,0.0784
191,Poland,1996,8582,0.022690000000000002,22.34954,11923,0.03152,31.05009,423.05,342.0,55.93,24.6,0.52,6.691667,20505,0.05421
192,Latvia,1996,684,0.02027,27.29079,558,0.01654,22.26875,0.12,-3.87,2.55,1.43,0.02,5.216667,1242,0.036809999999999996
193,Canada,1996,7993,0.0382,27.26209,11525,0.05508,39.31002,696.88,528.32,108.74,50.81,9.02,-7.433333,19518,0.09328
194,Slovakia,1996,2332,0.04589,43.43619,898,0.01769,16.74308,42.19,32.74,6.23,3.14,0.08,6.533333,3230,0.06358
195,Japan,1996,78693,0.08728999999999999,61.49803000000001,34164,0.03789,26.698729999999998,1215.95,1110.51,33.5,30.69,41.26,10.291667,112857,0.12517999999999999
196,Greece,1995,2503,0.025580000000000002,23.19335,2694,0.027530000000000002,24.961489999999998,104.03,81.91,11.05,6.83,4.22,13.625,5197,0.053110000000000004
197,Norway,1995,2871,0.06448999999999999,65.99098000000001,1796,0.04033,41.27108,31.6,18.05,6.09,4.56,2.89,1.1,4667,0.10482
198,France,1996,23066,0.044239999999999995,39.20114,22504,0.04317,38.24612,490.93,343.1,76.18,64.47,7.18,10.608333,45570,0.08740999999999999
199,Iceland,1996,108,0.059329999999999994,40.306329999999996,81,0.04465,30.339979999999997,3.29,2.28,0.56,0.4,0.05,2.166667,189,0.10397999999999999
200,New Zealand,1996,851,0.030860000000000002,23.24878,1849,0.06704,50.50868,48.09,-0.39,33.27,14.83,0.39,9.9,2700,0.0979
201,Belgium,1996,4432,0.042910000000000004,43.758790000000005,7197,0.06967000000000001,71.05156,138.55,115.53,12.98,9.41,0.63,8.85,11629,0.11258000000000001
202,Finland,1996,3092,0.06299,60.1914,1367,0.027839999999999997,26.604159999999997,45.39,31.47,7.7,5.97,0.25,1.525,4459,0.09083
203,Greece,1996,2618,0.02652,24.10889,2739,0.027739999999999997,25.21989,105.1,81.83,11.26,7.13,4.88,13.3,5357,0.054259999999999996
204,Israel,1996,809,0.02309,13.90368,1406,0.040119999999999996,24.1647,62.13,48.71,10.07,1.9,1.45,20.466667,2215,0.06320999999999999
205,Spain,1996,10112,0.0291,25.60377,26512,0.07629,67.12963,254.16,187.41,36.19,22.5,8.06,13.4,36624,0.10539
206,United Kingdom,1996,51347,0.08205,87.71936,38811,0.062020000000000006,66.30399,722.68,533.7,122.84,43.81,22.33,8.2,90158,0.14407
207,Chile,1996,7586,0.09652000000000001,52.49853,2996,0.038130000000000004,20.73648,46.64,26.69,13.69,6.02,0.24,8.6,10582,0.13465000000000002
208,Italy,1994,9250,0.016980000000000002,16.35096,24347,0.044680000000000004,43.03895,439.52,357.76,53.19,27.06,1.5,13.133332999999999,33597,0.061660000000000006
209,Italy,1996,9542,0.01734,16.90237,24495,0.04451,43.38939,460.76,377.63,53.4,28.24,1.49,11.883333,34037,0.06185
210,Netherlands,1996,6638,0.04893,42.803540000000005,8122,0.05987000000000001,52.37312,231.75,175.38,28.99,15.33,12.04,8.316667,14760,0.10880000000000001
211,Slovenia,1996,683,0.03651,34.38644,728,0.03889,36.64079,9.54,5.89,2.54,0.94,0.17,8.191667,1411,0.0754
212,Estonia,1996,426,0.02325,29.87466,287,0.01567,20.13908,18.3,15.46,1.64,1.16,0.03,4.85,713,0.038919999999999996
213,Israel,1995,743,0.02153,13.0934,1422,0.04123,25.07125,59.03,46.75,9.76,1.78,0.75,19.883333,2165,0.06276000000000001
214,Hungary,1996,1630,0.01178,15.842179999999999,4758,0.03438,46.2365,76.57,60.1,9.03,7.14,0.3,9.583333,6388,0.04616
215,Sweden,1995,4200,0.04532,47.60008,2864,0.030910000000000003,32.45763,74.78,60.1,8.2,5.7,0.78,2.016667,7064,0.07623
216,Ireland,1997,2287,0.07332999999999999,61.334340000000005,2439,0.07817,65.3877,60.84,33.68,16.0,10.59,0.57,10.133333,4726,0.1515
217,Australia,1997,2733,0.02164,14.964089999999999,7671,0.06072,41.99174,582.28,357.18,150.49,71.87,2.74,21.633333,10404,0.08236
218,Luxembourg,1997,104,0.02815,25.19942,185,0.04988,44.64712,8.52,7.63,0.58,0.29,0.02,9.691667,289,0.07803
219,Norway,1997,2557,0.05805,58.118730000000006,1924,0.04367,43.72503,34.06,20.75,6.17,4.57,2.58,1.7583330000000001,4481,0.10172
220,Sweden,1997,3995,0.04307,45.08428,3046,0.03285,34.38176,74.08,59.26,8.1,5.79,0.93,2.6583330000000003,7041,0.07591999999999999
221,Ireland,1996,2244,0.07187,60.73451,2433,0.07793,65.85472,59.34,32.51,16.0,10.44,0.39,9.091667,4677,0.1498
222,New Zealand,1997,763,0.02787,20.680039999999998,1862,0.06797,50.43593,50.39,1.93,33.34,14.76,0.35,9.7,2625,0.09584000000000001
223,Belgium,1997,4654,0.04521,45.81739,7196,0.0699,70.84477,135.36,112.72,12.78,9.1,0.75,10.45,11850,0.11511
224,Finland,1997,3105,0.06287999999999999,60.26968000000001,1423,0.02882,27.623340000000002,43.45,29.53,7.57,6.0,0.35,2.1166669999999996,4528,0.09169999999999999
225,Ireland,1995,2186,0.0698,59.64525,2442,0.07796,66.61652,57.85,31.05,16.01,10.52,0.27,9.95,4628,0.14776
226,Australia,1996,2425,0.01926,13.41525,7701,0.06115,42.60682,571.01,349.99,146.29,71.89,2.83,21.891667,10126,0.08041000000000001
227,Turkey,1996,26281,0.07003,39.88152,18939,0.0505,28.7404,233.26,168.5,36.95,26.68,1.12,11.4,45220,0.12053
228,Slovenia,1997,731,0.03874,36.77203,736,0.03901,37.02567,10.02,6.32,2.52,1.0,0.18,9.175,1467,0.07775
229,Estonia,1997,430,0.0236,30.4578,283,0.01556,20.077460000000002,17.88,15.09,1.6,1.15,0.04,5.9166669999999995,713,0.03916
230,Hungary,1997,1584,0.0115,15.41995,4581,0.03327,44.6007,74.9,58.62,8.93,7.02,0.32,10.141667,6165,0.044770000000000004
231,Chile,1997,7233,0.09256,49.45391,3089,0.03953,21.12034,53.95,33.19,14.17,6.28,0.31,8.841667,10322,0.13209
232,Greece,1997,2713,0.0274,24.83126,2796,0.02823,25.58269,106.21,82.84,11.21,6.87,5.29,13.316667,5509,0.05563
233,Turkey,1997,24601,0.0662,36.8263,19230,0.05175,28.78547,242.39,176.65,37.72,26.83,1.19,10.55,43831,0.11795
234,Latvia,1997,651,0.01993,26.2944,526,0.016130000000000002,21.27937,-0.44,-4.34,2.44,1.44,0.02,6.366667,1177,0.03606
235,Poland,1997,8635,0.02285,22.49745,11846,0.03135,30.86232,412.81,331.29,55.74,25.11,0.67,7.95,20481,0.0542
236,Slovakia,1997,2259,0.04301,42.03249,934,0.01778,17.37325,42.0,32.84,6.04,3.03,0.1,7.325,3193,0.06079
237,Luxembourg,1996,100,0.02675,24.47438,185,0.049569999999999996,45.35472,9.02,8.12,0.59,0.29,0.02,8.183333,285,0.07632
238,Norway,1996,2652,0.06,60.608059999999995,1863,0.04215,42.57244,32.45,18.99,6.13,4.58,2.75,0.575,4515,0.10214999999999999
239,Sweden,1996,4164,0.04478,47.076640000000005,2961,0.03184,33.47817,80.33,65.52,8.18,5.85,0.79,1.4,7125,0.07662
240,Iceland,1997,104,0.05725,38.52028,81,0.04495,30.240409999999997,3.27,2.17,0.56,0.41,0.13,2.1166669999999996,185,0.1022
241,Italy,1997,9879,0.01789,17.50414,24799,0.044910000000000005,43.9371,464.54,381.0,53.78,27.91,1.86,12.658333,34678,0.06280000000000001
242,Netherlands,1997,6946,0.05125,44.53226,8216,0.06062000000000001,52.670840000000005,222.95,167.94,27.53,15.07,12.41,10.058333,15162,0.11187
243,Austria,1997,1231,0.01574,15.50588,2432,0.03108,30.6194,66.4,50.75,9.59,4.64,1.43,6.8,3663,0.04682
244,Denmark,1997,1935,0.0329,36.70859,4028,0.06847,76.4036,79.91,64.06,8.96,6.49,0.4,8.425,5963,0.10137
245,Germany,1997,18683,0.02201,22.77131,35629,0.04197,43.42536,994.92,819.93,105.27,61.41,8.31,9.225,54312,0.06398
246,Portugal,1997,5158,0.050069999999999996,49.76319,5159,0.05008,49.77599,68.93,52.39,12.28,4.03,0.22,15.991667000000001,10317,0.10014999999999999
247,Switzerland,1997,2304,0.03659,32.12495,2658,0.04222,37.06669,50.03,41.28,5.76,2.51,0.48,6.0416669999999995,4962,0.07880999999999999
248,Mexico,1997,29252,0.06385,30.16562,21052,0.04596,21.70965,518.59,371.54,106.34,36.55,4.17,20.883333,50304,0.10981
249,Israel,1997,866,0.02441,14.52704,1413,0.03982,23.69655,65.15,50.94,10.13,1.92,2.16,19.75,2279,0.06423000000000001
250,Canada,1997,8105,0.03843,27.40522,11865,0.05625,40.11647,709.57,543.72,108.86,47.73,9.27,-6.608333,19970,0.09468
251,Poland,1998,8753,0.02349,22.81717,11541,0.030969999999999998,30.085790000000003,382.95,305.04,53.49,23.65,0.76,8.333333,20294,0.054459999999999995
252,Japan,1998,81842,0.08681,63.669059999999995,35404,0.03755,27.542609999999996,1156.66,1055.5,31.29,29.76,40.12,11.458333,117246,0.12436
253,Slovakia,1998,2096,0.039689999999999996,38.96185,973,0.01842,18.0846,40.81,31.97,5.92,2.83,0.1,7.883333,3069,0.058109999999999995
254,Germany,1998,18442,0.02199,22.457179999999997,34385,0.041,41.87048,968.6,812.12,99.14,48.49,8.85,9.333333,52827,0.06299
255,Portugal,1998,5424,0.05227999999999999,52.031,5318,0.05126,51.02105,74.08,57.06,12.55,4.17,0.29,15.6,10742,0.10354
256,Switzerland,1998,2290,0.03652,31.758129999999998,2656,0.04236,36.83781,51.57,42.78,5.68,2.5,0.61,5.758333,4946,0.07888
257,France,1998,23111,0.04415,38.97136,22302,0.04261,37.60623,497.02,356.3,74.58,57.06,9.08,11.35,45413,0.08676
258,Iceland,1998,97,0.054020000000000006,35.77503,83,0.04596,30.43767,3.42,2.17,0.57,0.42,0.26,1.466667,180,0.09998000000000001
259,Italy,1998,10284,0.0184,18.21515,25196,0.04507,44.62368,475.84,391.85,53.35,28.34,2.3,12.508333,35480,0.06347
260,Netherlands,1998,7293,0.053360000000000005,46.47266,8452,0.061829999999999996,53.85613000000001,223.08,168.37,26.59,14.75,13.37,10.141667,15745,0.11519
261,Japan,1997,79646,0.08724,62.09571,34422,0.0377,26.837120000000002,1203.81,1098.26,32.76,31.35,41.44,10.975,114068,0.12494
262,Mexico,1998,27050,0.05876,27.48746,21383,0.04646,21.72927,554.43,395.43,114.51,40.22,4.28,21.425,48433,0.10522000000000001
263,Spain,1997,10306,0.02975,25.94892,27038,0.07804,68.07567,275.71,205.91,38.02,22.26,9.52,14.3,37344,0.10779
264,Canada,1998,8112,0.03803,27.202859999999998,12217,0.05728,40.96686,726.1,552.1,115.71,47.89,10.4,-5.141667,20329,0.09531
265,Finland,1998,3088,0.06266000000000001,59.79165,1469,0.02982,28.454829999999998,39.81,26.22,7.3,5.84,0.45,1.116667,4557,0.09248
266,Greece,1998,2933,0.02914,26.670740000000002,2887,0.02868,26.252240000000004,110.45,86.2,11.54,6.79,5.92,14.116667000000001,5820,0.057819999999999996
267,Israel,1998,885,0.024480000000000002,14.505279999999999,1444,0.03991,23.653579999999998,66.52,51.48,10.21,1.97,2.86,20.933332999999998,2329,0.06439
268,Spain,1998,10829,0.03058,27.073320000000002,28395,0.08017,70.98668,285.23,213.54,38.45,23.56,9.69,13.833332999999998,39224,0.11075
269,United Kingdom,1998,52402,0.08456,88.74599,39753,0.06415,67.32448000000001,697.42,514.07,117.13,44.07,22.15,9.1,92155,0.14871
270,Chile,1998,6874,0.08691,46.45159,3322,0.042,22.44845,55.16,34.04,14.4,6.34,0.38,9.075,10196,0.12891
271,Finland,1999,3066,0.06235,59.22019,1485,0.0302,28.68702,39.13,25.64,7.1,5.84,0.55,2.175,4551,0.09255000000000001
272,Greece,1999,3067,0.03005,27.76977,3031,0.029689999999999998,27.44205,111.37,86.47,11.35,6.72,6.82,14.633332999999999,6098,0.05974
273,Israel,1999,898,0.02458,14.38078,1498,0.04097,23.97062,68.72,52.96,10.29,1.91,3.57,20.516667,2396,0.06555
274,Spain,1999,11375,0.0314,28.18727,29516,0.08148,73.14116999999999,309.99,235.67,39.04,23.57,11.71,13.716667000000001,40891,0.11288
275,United Kingdom,1999,52478,0.0847,88.49274,40726,0.06573,68.67574,671.25,511.41,111.72,34.42,13.71,9.275,93204,0.15043
276,Chile,1999,6507,0.08122,43.47817,3555,0.04438,23.75771,57.97,36.41,14.51,6.62,0.45,8.566667,10062,0.1256
277,New Zealand,1998,635,0.0236,17.06679,1844,0.06852000000000001,49.55175,48.89,1.45,32.75,14.43,0.26,10.758333,2479,0.09212000000000001
278,Belgium,1998,4928,0.047830000000000004,48.37596,7176,0.06965,70.44249,138.13,115.49,12.53,9.19,0.91,10.35,12104,0.11748
279,Ireland,1998,2334,0.07484,61.91785,2428,0.07785,64.4076,64.24,36.2,16.44,11.08,0.53,9.966667,4762,0.15269
280,Luxembourg,1998,108,0.02928,25.766270000000002,184,0.04962,43.67436,7.84,6.95,0.58,0.29,0.03,9.625,292,0.0789
281,Norway,1998,2502,0.05653,56.53385,2005,0.04531,45.31273,35.64,22.47,5.96,4.6,2.6,0.958333,4507,0.10184
282,Sweden,1998,3831,0.04123,43.17645,3154,0.03394,35.54955,74.87,60.26,7.9,5.74,0.97,1.775,6985,0.07517
283,New Zealand,1999,605,0.0221,16.14092,1919,0.07002,51.14164,51.14,2.82,33.15,14.83,0.34,10.658333,2524,0.09212000000000001
284,Belgium,1999,5171,0.05013,50.59918,7142,0.06924,69.88274,134.27,111.59,12.6,9.12,0.97,10.958333,12313,0.11937
285,Turkey,1999,20846,0.05625,30.430670000000003,18371,0.049569999999999996,26.818590000000004,243.49,175.93,38.15,28.09,1.32,12.116667,39217,0.10582
286,Hungary,1998,1533,0.01099,14.96035,4515,0.03236,44.05265,74.76,58.98,8.73,6.63,0.43,10.633333,6048,0.04335
287,Australia,1998,2641,0.0209,14.30551,7608,0.06019,41.20535,608.08,378.07,151.02,75.74,3.26,22.208333,10249,0.08109
288,Slovenia,1998,743,0.03911,37.34622,742,0.039060000000000004,37.2992,9.75,6.1,2.5,0.97,0.18,9.291667,1485,0.07817
289,Estonia,1998,455,0.02396,32.47687,295,0.01556,21.084239999999998,17.37,14.59,1.54,1.18,0.05,5.466667,750,0.03952
290,Sweden,1999,3773,0.04049,42.45117,3259,0.034980000000000004,36.67255,73.6,59.21,7.67,5.58,1.15,2.458333,7032,0.07547000000000001
291,United Kingdom,1997,52237,0.08422,88.85999,39140,0.0631,66.5815,701.07,511.37,120.74,43.83,25.14,9.358333,91377,0.14732
292,Mexico,1996,30790,0.06767000000000001,32.251259999999995,20496,0.04506,21.469179999999998,490.56,348.39,101.91,36.64,3.62,21.191667000000002,51286,0.11273000000000001
293,Turkey,1998,22789,0.062329999999999997,33.67288,19178,0.05245,28.33813,243.59,176.91,37.25,28.14,1.29,11.875,41967,0.11478
294,Latvia,2000,638,0.02028,26.79464,461,0.01464,19.33405,-2.21,-5.77,2.11,1.42,0.03,7.55,1099,0.03492
295,Mexico,2000,23158,0.05115,22.88824,21596,0.04772,21.344829999999998,559.46,406.79,109.03,38.31,5.32,21.183332999999998,44754,0.09887
296,Austria,2000,1262,0.01648,15.74029,2608,0.03404,32.5167,64.76,50.06,8.94,4.59,1.18,7.825,3870,0.05052
297,Portugal,2000,5605,0.054,53.16573,5552,0.05347999999999999,52.660740000000004,80.33,63.11,12.59,4.17,0.45,15.366667000000001,11157,0.10747999999999999
298,Switzerland,2000,2212,0.03537,30.31188,2606,0.04166,35.70582,50.89,42.24,5.48,2.38,0.79,6.35,4818,0.07703
299,Denmark,2000,1734,0.030619999999999998,32.50887,4174,0.07368,78.23099,68.8,53.04,8.65,6.37,0.74,9.225,5908,0.10429999999999999
300,Germany,2000,18622,0.02229,22.62278,32656,0.03909,39.67183,924.72,778.97,94.11,43.24,8.4,10.158333,51278,0.061380000000000004
301,Canada,2000,6905,0.03218,22.78704,12446,0.05801,41.07456,739.69,580.65,108.29,40.16,10.6,-6.575,19351,0.09018999999999999
302,Latvia,1998,684,0.02024,28.02249,522,0.015430000000000001,21.36509,-0.87,-4.72,2.34,1.48,0.03,6.158333,1206,0.03567
303,Austria,1998,1238,0.01595,15.541210000000001,2459,0.03167,30.86365,66.38,51.2,9.31,4.63,1.24,6.975,3697,0.047619999999999996
304,Hungary,1999,1505,0.01077,14.727039999999999,4490,0.032119999999999996,43.91626,75.48,59.53,8.8,6.55,0.61,10.808333,5995,0.04289
305,Ireland,1999,2422,0.07701000000000001,63.49134,2420,0.07694,63.42825,65.8,37.81,16.48,10.81,0.68,9.941667,4842,0.15395
306,Denmark,1999,1783,0.030889999999999997,33.54893,4194,0.07266,78.90482,73.01,57.29,8.74,6.37,0.62,8.841667,5977,0.10355
307,Germany,1999,18639,0.02226,22.6735,33596,0.040119999999999996,40.86732,934.16,782.33,98.5,44.96,8.37,9.758333,52235,0.06237999999999999
308,Portugal,1999,5692,0.05426,54.29428000000001,5556,0.05296,52.99411,80.82,63.66,12.61,4.19,0.37,15.316667,11248,0.10722000000000001
309,Latvia,1999,650,0.0201,26.942970000000003,484,0.014980000000000002,20.078020000000002,-1.52,-5.24,2.23,1.46,0.03,7.191667,1134,0.03508
310,Poland,1999,9301,0.02461,24.26663,11606,0.03071,30.28125,372.24,295.56,52.44,23.27,0.96,8.975,20907,0.05532
311,Slovakia,1999,1967,0.0374,36.53135,995,0.01892,18.477870000000003,39.35,31.22,5.7,2.32,0.11,8.158333,2962,0.05632
312,Austria,1999,1267,0.01641,15.85635,2530,0.032760000000000004,31.65992,64.56,49.58,9.17,4.63,1.18,6.983333,3797,0.049170000000000005
313,Switzerland,1999,2259,0.03613,31.14602,2644,0.042289999999999994,36.45239,51.69,43.06,5.55,2.41,0.67,5.758333,4903,0.07841999999999999
314,Canada,1999,7761,0.036239999999999994,25.820729999999998,12397,0.057879999999999994,41.242540000000005,723.75,560.63,110.64,42.58,9.89,-5.8,20158,0.09411999999999998
315,Poland,2000,9130,0.02495,23.844260000000002,11085,0.0303,28.950029999999998,358.79,282.27,51.25,23.72,1.55,9.575,20215,0.05525
316,Slovakia,2000,1865,0.03598,34.6202,1000,0.01929,18.55861,36.76,28.64,5.4,2.58,0.14,9.008333,2865,0.05527
317,France,2000,21776,0.041839999999999995,36.32806,20090,0.0386,33.51481,483.67,348.31,75.38,49.27,10.72,11.9,41866,0.08044
318,Iceland,2000,91,0.052160000000000005,32.64782,80,0.046189999999999995,28.91058,3.43,2.24,0.57,0.42,0.19,2.025,171,0.09834999999999999
319,Italy,2000,10339,0.01872,18.24801,25044,0.04535,44.19914,488.0,401.78,53.87,28.87,3.48,12.958333,35383,0.06407
320,Netherlands,2000,7859,0.056429999999999994,49.45453,8770,0.06297,55.18728,208.55,163.75,24.4,14.04,6.37,10.783333,16629,0.11939999999999999
321,France,1997,23100,0.04463,39.11557,22294,0.04308,37.75141,480.98,334.26,74.58,64.02,8.12,11.875,45394,0.08771000000000001
322,Japan,1999,84814,0.0876,65.8532,36413,0.037610000000000005,28.272859999999998,1182.31,1090.14,30.75,23.53,37.88,11.333333,121227,0.12521
323,Denmark,1998,1804,0.031439999999999996,34.07752,4069,0.07092000000000001,76.86362,75.85,60.08,8.95,6.32,0.5,8.133333,5873,0.10236
324,Luxembourg,1999,113,0.030639999999999997,26.48759,184,0.04999,43.21525,8.23,7.31,0.6,0.3,0.03,10.158333,297,0.08063
325,Slovenia,1999,739,0.0391,37.13049,743,0.03935,37.36255,9.06,5.54,2.39,0.94,0.18,9.3,1482,0.07845
326,Australia,1999,2712,0.0214,14.529110000000001,7577,0.059770000000000004,40.58448,643.6,383.46,163.9,93.34,2.9,21.7,10289,0.08117
327,France,1999,22746,0.04336,38.16637,21732,0.04143,36.46646,486.59,350.09,74.29,51.5,10.7,11.725,44478,0.08479
328,Estonia,2001,434,0.0233,31.2745,292,0.01568,21.0402,16.56,13.87,1.42,1.17,0.1,6.025,726,0.03898
329,Hungary,2001,1267,0.00968,12.44402,4060,0.031030000000000002,39.88162,75.63,58.7,8.87,7.42,0.64,10.716667,5327,0.04071
330,Slovenia,2001,707,0.03728,35.4945,719,0.037880000000000004,36.05914,7.5,3.85,2.47,0.97,0.2,9.283333,1426,0.07516
331,Australia,2001,3031,0.02359,15.864270000000001,7608,0.05922,39.81994,665.72,374.35,176.75,110.29,4.32,21.383333,10639,0.08281
332,Norway,2001,2419,0.05549,53.700680000000006,2183,0.050089999999999996,48.47797,25.04,11.91,5.88,4.54,2.71,1.116667,4602,0.10558
333,Sweden,2001,3439,0.037110000000000004,38.53179,3408,0.03678,38.18627,54.79,40.95,7.31,5.27,1.26,2.066667,6847,0.07389000000000001
334,Ireland,2001,2223,0.07435,56.62667,2185,0.07307999999999999,55.65883,71.35,42.79,17.05,10.47,1.04,9.483333,4408,0.14743
335,Luxembourg,2001,116,0.0319,26.562640000000002,178,0.04891,40.7229,9.44,8.63,0.58,0.21,0.03,9.816667,294,0.08080999999999999
336,Turkey,2001,16830,0.0498,24.051460000000002,18871,0.05585,26.967990000000004,219.28,154.82,37.96,25.02,1.48,12.291667,35701,0.10565
337,Iceland,1999,95,0.0538,34.72875,82,0.04626,29.860440000000004,3.4,2.13,0.58,0.43,0.25,1.6833330000000002,177,0.10006000000000001
338,Italy,1999,10430,0.01875,18.45055,25286,0.04546,44.729040000000005,483.07,398.49,53.19,28.58,2.81,12.658333,35716,0.06421
339,Netherlands,1999,7683,0.05535,48.648559999999996,8645,0.062279999999999995,54.740869999999994,210.62,163.09,25.5,14.5,7.53,10.775,16328,0.11763
340,Mexico,1999,25011,0.05476,25.060470000000002,21622,0.04735,21.665370000000003,533.02,382.78,106.74,38.18,5.32,20.991667,46633,0.10211
341,Ireland,2000,2359,0.07639,61.0032,2307,0.07472000000000001,59.67618,68.77,40.15,16.97,10.71,0.94,9.566667,4666,0.15111000000000002
342,Luxembourg,2000,115,0.031039999999999998,26.5861,183,0.0494,42.31669,8.85,8.03,0.57,0.21,0.03,10.4,298,0.08044
343,Norway,2000,2457,0.056010000000000004,54.860040000000005,2139,0.048760000000000005,47.76014,32.21,19.02,5.85,4.61,2.74,2.4,4596,0.10477
344,Sweden,2000,3618,0.03903,40.64056,3321,0.03582,37.30337,69.41,55.31,7.44,5.49,1.17,3.358333,6939,0.07485
345,Turkey,2000,18569,0.055260000000000004,26.80821,17719,0.05272999999999999,25.580370000000002,267.48,199.67,38.8,27.63,1.38,11.308333,36288,0.10799
346,Norway,1999,2489,0.05631,55.91166,2085,0.04717,46.838409999999996,37.58,24.3,5.76,4.82,2.7,1.6416669999999998,4574,0.10347999999999999
347,Estonia,1999,428,0.023540000000000002,30.66211,284,0.01563,20.35504,16.43,13.7,1.5,1.16,0.06,6.475,712,0.03917
348,New Zealand,2001,540,0.0195,14.127,1953,0.07052,51.08027,57.05,8.9,32.88,14.89,0.39,10.266667,2493,0.09002
349,Belgium,2001,5429,0.052829999999999995,52.70446,7022,0.06833,68.16891,135.68,115.34,11.6,7.5,1.25,10.483333,12451,0.12115999999999999
350,Finland,2001,2678,0.054729999999999994,51.48734,1511,0.030889999999999997,29.059440000000002,58.93,45.79,6.57,5.8,0.77,1.9083330000000003,4189,0.08561999999999999
351,Greece,2001,3283,0.032010000000000004,29.478209999999997,3315,0.03232,29.767429999999997,117.43,95.53,10.66,6.39,4.85,14.55,6598,0.06433
352,Israel,2001,903,0.0242,13.820910000000001,1510,0.04045,23.10533,73.5,57.94,9.05,1.99,4.52,20.666667,2413,0.06465
353,Spain,2001,11113,0.030910000000000003,26.86048,28925,0.08046,69.91102,348.65,275.62,40.43,22.78,9.82,13.841667000000001,40038,0.11137000000000001
354,United Kingdom,2001,43916,0.07367,73.4064,40655,0.0682,67.95481,684.64,533.53,104.03,33.84,13.24,8.766667,84571,0.14187
355,Chile,2001,5214,0.06414,34.09169,3941,0.04849,25.77309,33.28,11.78,14.27,6.64,0.58,8.441667,9155,0.11263000000000001
356,Japan,2000,83518,0.08619,64.72785,36201,0.037360000000000004,28.05637,1198.54,1107.18,30.13,26.1,35.14,11.116667,119719,0.12355000000000001
357,Belgium,2000,5415,0.05242,52.793409999999994,7071,0.06845,68.93544,134.3,113.27,12.12,7.76,1.16,11.008333,12486,0.12087
358,Spain,2000,11173,0.0312,27.37915,28948,0.08084,70.93562,327.4,250.68,39.8,23.73,13.19,13.783332999999999,40121,0.11204
359,Finland,2000,2961,0.06014,57.062819999999995,1497,0.030410000000000003,28.84747,37.79,24.44,6.76,5.88,0.71,3.3416669999999997,4458,0.09055
360,Greece,2000,3238,0.031580000000000004,29.200390000000002,3209,0.03129,28.93931,117.05,93.53,11.48,6.66,5.37,14.383332999999999,6447,0.06287000000000001
361,United Kingdom,2000,49367,0.08139,82.89009,40521,0.06681000000000001,68.03787,673.87,519.16,107.46,34.62,12.63,8.983333,89888,0.1482
362,Chile,2000,5635,0.07101,37.23987,3671,0.04626,24.26129,54.22,32.46,14.51,6.73,0.52,8.116667,9306,0.11727000000000001
363,Israel,2000,923,0.02495,14.448960000000001,1523,0.041139999999999996,23.828329999999998,73.59,56.97,10.36,1.98,4.27,19.833333,2446,0.06609
364,Poland,2002,8760,0.02446,22.91783,10644,0.02972,27.84504,292.88,215.84,51.29,23.04,2.71,9.158333,19404,0.05418
365,Slovakia,2002,1824,0.03515,33.85617,1024,0.01973,19.00165,37.87,29.68,5.2,2.76,0.23,8.658333,2848,0.05488
366,Japan,2002,84169,0.08496000000000001,65.0155,36783,0.03713,28.41286,1185.65,1109.5,28.07,22.49,25.59,11.075,120952,0.12209
367,Italy,2002,10023,0.01799,17.551660000000002,25514,0.04579,44.67672,494.23,408.76,52.0,28.18,5.29,12.975,35537,0.06378
368,Netherlands,2002,7811,0.05562,48.58282,8962,0.06382,55.738519999999994,208.85,168.66,22.68,12.83,4.68,10.666667,16773,0.11944
