,country,year,respiratory_infections_and_tuberculosis_number,respiratory_infections_and_tuberculosis_percent,respiratory_infections_and_tuberculosis_rate,chronic_respiratory_diseases_number,chronic_respiratory_diseases_percent,chronic_respiratory_diseases_rate,all_greenhouse_gas,CO2,CH4,N2O,Fgas,mean_annual_temp,total_respiratory_diseases,total_diseases_percent
41,Switzerland,1990,2691,0.04355,39.20309,2536,0.04105,36.951,51.19,41.87,6.45,2.69,0.18,6.05,5227,0.08460000000000001
42,Hungary,1991,1895,0.013280000000000002,18.26288,5287,0.03703,50.94028,85.72,66.18,11.68,7.51,0.36,9.775,7182,0.05031
43,Chile,1990,7405,0.09761,55.76174,2780,0.03665,20.938229999999997,30.34,13.05,12.32,4.85,0.12,8.583333,10185,0.13426
44,Slovenia,1991,558,0.03023,28.26336,685,0.03707,34.68049,7.32,3.34,2.79,1.05,0.15,8.325,1243,0.0673
45,Estonia,1991,319,0.01619,20.44969,334,0.01697,21.435879999999997,33.58,29.58,2.25,1.76,0.01,6.2,653,0.033159999999999995
46,Spain,1991,9933,0.030019999999999998,25.55759,23295,0.07041,59.934459999999994,238.82,179.52,34.37,20.91,4.01,13.283332999999999,33228,0.10042999999999999
47,Finland,1992,2865,0.0577,56.655069999999995,1269,0.02557,25.10393,35.07,21.15,8.18,5.71,0.02,2.5916669999999997,4134,0.08327
48,Greece,1992,2306,0.0243,21.83879,2622,0.027630000000000002,24.827070000000003,96.63,77.25,10.7,7.33,1.34,13.266667000000002,4928,0.051930000000000004
49,Israel,1992,778,0.02416,14.859420000000002,1438,0.0446,27.43518,47.82,36.83,8.9,1.66,0.42,18.841667,2216,0.06876
50,New Zealand,1992,990,0.0372,28.36037,1616,0.0607,46.28032,45.48,-1.49,31.93,14.57,0.48,8.975,2606,0.09789999999999999
51,Spain,1992,9667,0.029310000000000003,24.81189,23463,0.07113,60.21824,248.65,189.79,34.86,19.3,4.7,13.283332999999999,33130,0.10044
52,Belgium,1992,3750,0.036410000000000005,37.379059999999996,6734,0.06537000000000001,67.11504000000001,129.84,108.42,13.14,7.77,0.52,10.45,10484,0.10178000000000001
