"","country","year","mean_year_tempeC","id","tot_gas","year_deaths"
"92","Belarus",1991,7.175,"Belarus-1991",99.3,5922
"93","Belarus",1992,7.39166666666667,"Belarus-1992",85.47,5774
"94","Belarus",1993,6.33333333333333,"Belarus-1993",72.69,6777
"95","Belarus",1994,6.98333333333333,"Belarus-1994",59.65,6763
"96","Belarus",1995,7.13333333333333,"Belarus-1995",51.66,6994
"97","Belarus",1997,6.53333333333333,"Belarus-1997",52.84,7439
"98","Belarus",1998,6.74166666666667,"Belarus-1998",50.95,7529
"99","Belarus",1999,7.88333333333333,"Belarus-1999",48.68,7925
"100","Belarus",2000,8.10833333333333,"Belarus-2000",46.09,7293
"101","Belarus",2001,7.225,"Belarus-2001",53.15,7394
"102","Belarus",2002,7.86666666666667,"Belarus-2002",52.01,13581
"103","Belarus",2003,6.84166666666667,"Belarus-2003",53.02,10870
"104","Belarus",2007,8.08333333333333,"Belarus-2007",59.4,10154
"105","Belarus",2008,8.225,"Belarus-2008",63.54,8764
"106","Belarus",2009,7.39166666666667,"Belarus-2009",60.67,8889
"107","Belarus",2010,6.95,"Belarus-2010",65.26,7744
"108","Belarus",2011,7.70833333333333,"Belarus-2011",70.97,6854
"109","Belarus",2013,7.76666666666667,"Belarus-2013",73.22,4742
"110","Belarus",2014,8.01666666666667,"Belarus-2014",72.53,4120
"111","Belgium",1991,9.65,"Belgium-1991",131.76,25664
"112","Belgium",1992,10.45,"Belgium-1992",129.84,26743
"113","Belgium",1993,9.83333333333333,"Belgium-1993",127.66,28989
"114","Belgium",1994,10.9333333333333,"Belgium-1994",133.02,27317
"115","Belgium",1995,10.625,"Belgium-1995",133.19,29088
"116","Belgium",1996,8.85,"Belgium-1996",138.55,29428
"117","Belgium",1997,10.45,"Belgium-1997",135.36,30077
"118","Belize",1991,25.325,"Belize-1991",13.41,147
"119","Belize",1993,25.0333333333333,"Belize-1993",13.7,230
"120","Belize",1994,25.3833333333333,"Belize-1994",13.8,132
"121","Belize",1995,25.45,"Belize-1995",12.71,237
"122","Belize",1996,25.0583333333333,"Belize-1996",11.55,217
"123","Bosnia and Herzegovina",1991,8.825,"Bosnia and Herzegovina-1991",30.87,4891
"124","Brazil",1991,25.0666666666667,"Brazil-1991",1669.56,293806
"125","Brazil",1992,24.925,"Brazil-1992",1679.5,311830
"126","Brazil",1993,25.0166666666667,"Brazil-1993",1689.7,344196
"127","Brazil",1994,25.1333333333333,"Brazil-1994",1706.03,353112
"128","Brazil",1995,25.3083333333333,"Brazil-1995",1726.08,358936
"129","Bulgaria",1991,10.0083333333333,"Bulgaria-1991",59.37,16503
"130","Bulgaria",1992,10.4416666666667,"Bulgaria-1992",53.5,16660
"131","Bulgaria",1993,10.175,"Bulgaria-1993",52.02,15401
"132","Bulgaria",1994,11.5833333333333,"Bulgaria-1994",48.13,15786
"133","Bulgaria",1995,10.6,"Bulgaria-1995",49.35,15471
"134","Bulgaria",1996,10.2,"Bulgaria-1996",49.88,15914
"135","Bulgaria",1997,9.99166666666667,"Bulgaria-1997",47.36,16013
"136","Bulgaria",1998,10.775,"Bulgaria-1998",43.51,14298
"137","Bulgaria",1999,11.4833333333333,"Bulgaria-1999",36.58,13177
"138","Bulgaria",2000,11.5166666666667,"Bulgaria-2000",35.97,13793
"139","Bulgaria",2001,11.3916666666667,"Bulgaria-2001",36.61,11894
"140","Bulgaria",2002,11.5,"Bulgaria-2002",33.96,11198
"141","Bulgaria",2003,10.6,"Bulgaria-2003",38.75,11536
"142","Bulgaria",2004,11.025,"Bulgaria-2004",37.44,11142
"143","Canada",1991,-6.80833333333333,"Canada-1991",622.29,50075
"144","Canada",1992,-7.31666666666667,"Canada-1992",638.22,49816
"145","Canada",1993,-6.91666666666667,"Canada-1993",636.25,53340
"146","Canada",1994,-6.73333333333333,"Canada-1994",656.82,53984
"147","Canada",1995,-6.73333333333333,"Canada-1995",672.53,55030
"148","Canada",1996,-7.43333333333333,"Canada-1996",696.88,56025
